KT265941.1	Enterovirus G15 (EV-G15)
KT266010.1	Enterovirus G16 (EV-G16)
KY761948.1	Enterovirus G17 (EV-G17)
MF113370.1	Enterovirus G18 (EV-G18)
MF113372.1	Enterovirus G19 (EV-G19)
KU297674.1	Enterovirus G20 (EV-G20)
AF326759.2	Enterovirus H1 (EV-H)
KP345887.1	Enterovirus I1 (EV-I1)
KP345888.1	Enterovirus I2 (EV-I2)
AF326766.2	Enterovirus J1 (EV-J1)
FJ007373.1	Enterovirus J103 (EV-J103)
AF414372.2	Enterovirus J108 (EV-J108)
JX537981.2	Enterovirus J112 (EV-J112)
JX537991.2	Enterovirus J115 (EV-J115)
KX156158.1	Enterovirus K1 (EV-K1)
KX156159.1	Enterovirus K2 (EV-K2)
KU587555.1	Enterovirus L1 (EV-L1)
AC_000017.1	Human adenovirus 1 (HAdV-1)
J01917.1	Human adenovirus 2 (HAdV-2)
DQ086466.1	Human adenovirus 3 (HAdV-3)
AY487947.1	Human adenovirus 4 (HAdV-4)
AC_000008.1	Human adenovirus 5 (HAdV-5)
FJ349096.1	Human adenovirus 6 (HAdV-6)
AC_000018.1	Human adenovirus 7 (HAdV-7)
AB448767.1	Human adenovirus 8 (HAdV-8)
AJ854486.1	Human adenovirus 9 (HAdV-9)
JN226746.1	Human adenovirus 10 (HAdV-10)
AY163756.1	Human adenovirus 11 (HAdV-11)
X73487.1	Human adenovirus 12 (HAdV-12)
JN226747.1	Human adenovirus 13 (HAdV-13)
AY803294.1	Human adenovirus 14 (HAdV-14)
AB562586.1	Human adenovirus 15 (HAdV-15)
AY601636.1	Human adenovirus 16 (HAdV-16)
AC_000006.1	Human adenovirus 17 (HAdV-17)
GU191019.1	Human adenovirus 18 (HAdV-18)
JQ326209.1	Human adenovirus 19 (HAdV-19)
JN226749.1	Human adenovirus 20 (HAdV-20)
AY601633.1	Human adenovirus 21 (HAdV-21)
FJ404771.1	Human adenovirus 22 (HAdV-22)
JN226750.1	Human adenovirus 23 (HAdV-23)
JN226751.1	Human adenovirus 24 (HAdV-24)
JN226752.1	Human adenovirus 25 (HAdV-25)
EF153474.1	Human adenovirus 26 (HAdV-26)
JN226753.1	Human adenovirus 27 (HAdV-27)
FJ824826.1	Human adenovirus 28 (HAdV-28)
JN226754.1	Human adenovirus 29 (HAdV-29)
JN226755.1	Human adenovirus 30 (HAdV-30)
AM749299.1	Human adenovirus 31 (HAdV-31)
JN226756.1	Human adenovirus 32 (HAdV-32)
JN226758.1	Human adenovirus 33 (HAdV-33)
AY737797.1	Human adenovirus 34 (HAdV-34)
AC_000019.1	Human adenovirus 35 (HAdV-35)
GQ384080.1	Human adenovirus 36 (HAdV-36)
DQ900900.1	Human adenovirus 37 (HAdV-37)
JN226759.1	Human adenovirus 38 (HAdV-38)
JN226760.1	Human adenovirus 39 (HAdV-39)
L19443.1	Human adenovirus 40 (HAdV-40)
DQ315364.2	Human adenovirus 41 (HAdV-41)
JN226761.1	Human adenovirus 42 (HAdV-42)
JN226762.1	Human adenovirus 43 (HAdV-43)
JN226763.1	Human adenovirus 44 (HAdV-44)
JN226764.1	Human adenovirus 45 (HAdV-45)
AY875648.1	Human adenovirus 46 (HAdV-46)
JN226757.1	Human adenovirus 47 (HAdV-47)
EF153473.1	Human adenovirus 48 (HAdV-48)
DQ393829.1	Human adenovirus 49 (HAdV-49)
AY737798.1	Human adenovirus 50 (HAdV-50)
JN226765.1	Human adenovirus 51 (HAdV-51)
DQ923122.2	Human adenovirus 52 (HAdV-52)
FJ169625.1	Human adenovirus 53 (HAdV-53)
AB333801.2	Human adenovirus 54 (HAdV-54)
FJ643676.1	Human adenovirus 55 (HAdV-55)
HM770721.2	Human adenovirus 56 (HAdV-56)
HQ883276.1	Human adenovirus 58 (HAdV-58)
JQ923422.1	Human bocavirus 1 (HBoV1)
FJ973558.1	Human bocavirus 2a (HBoV2a)
FJ973560.1	Human bocavirus 2b (HBoV2b)
FJ170278.1	Human bocavirus 2c (HBoV2c)
EU918736.1	Human bocavirus 3 (HBoV3)
FJ973561.2	Human bocavirus 4 (HBoV4)
AF304460.1	Human coronavirus 229E (HCoV-229E)
AY597011.2	Human coronavirus HKU1 (HCoV-HKU1)
AY567487.2	Human coronavirus NL63 (HCoV-NL63)
AY585228.1	Human coronavirus OC43 (HCoV-OC43)
AF371337.2	Human metapneumovirus (HMPV), subtype A1
FJ168779.1	Human metapneumovirus (HMPV), subtype A2
AY525843.1	Human metapneumovirus (HMPV), subtype B1
FJ168778.1	Human metapneumovirus (HMPV), subtype B2
AF457102.1	Human parainfluenza virus 1 (HPIV-1)
X57559.1	Human parainfluenza virus 2 (HPIV-2)
AB012132.1	Human parainfluenza virus 3 (HPIV-3)
AB543336.1	Human parainfluenza virus 4 (HPIV-4)
S45208.1	Human parechovirus 1 (HPeV-1)
AJ005695.1	Human parechovirus 2 (HPeV-2)
AB084913.1	Human parechovirus 3 (HPeV-3)
DQ315670.1	Human parechovirus 4 (HPeV-4)
AF055846.1	Human parechovirus 5 (HPeV-5)
AB252582.1	Human parechovirus 6 (HPeV-6)
EU556224.1	Human parechovirus 7 (HPeV-7)
EU716175.1	Human parechovirus 8 (HPeV-8)
JX219575.1	Human parechovirus 9 (HPeV-9)
JX219568.1	Human parechovirus 10 (HPeV-10)
JX219574.1	Human parechovirus 11 (HPeV-11)
JX219567.1	Human parechovirus 12 (HPeV-12)
JX219579.1	Human parechovirus 13 (HPeV-13)
FJ373179.1	Human parechovirus 14 (HPeV-14)
JX219573.1	Human parechovirus 15 (HPeV-15)
JX219580.1	Human parechovirus 16 (HPeV-16)
