"","101110_02","101150_03","101150_05","102050_01","102050_02","103010_01","103010_04","103020_01","103020_02","103020_03","103020_04","103020_05","103040_09","106160_02","109110_01","109110_04","111050_01","113050_06","117080_01","117170_02","127070_07","127140_01","127140_02","127160_03","207090_02","207090_03","213080_01","213080_05","213090_01","213100_02","218090_03","218310_02","219020_01","219020_02","219460_06","220070_01","220070_02","220070_03","220070_04","224120_01","225040_04","226010_01","226220_04","227050_04","229110_01","229110_02","402100_02","403220_01","405170_01","407110_02","407120_01","412230_02","412230_04","415120_05","417280_01","426090_03","426121_02","426171_02","426300_02","426300_13","430160_01","430160_03"
"101110_02","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101150_03","1.09878732498754","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101150_05","1.09878732498754","1.79375306938205","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102050_01","1.38646939743879","2.48690024993881","2.48690024993881","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102050_02","1.38646939743879","2.48690024993881","2.48690024993881","28.2686925859519","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103010_01","1.09878732498754","1.10060588882369","1.10060588882369","1.38828796127494","1.38828796127494","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103010_04","0.539171537052793","0.540990100888949","0.695140780716056","0.695140780716056","0.695140780716056","0.540990100888949","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103020_01","0.405500117823099","0.40714419340112","0.540675586025529","0.540675586025529","0.540675586025529","0.40714419340112","0.289361157744825","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103020_02","0.405640144428383","0.407458708264539","0.540990100888949","0.540990100888949","0.540990100888949","0.407458708264539","0.289675672608244","28.2686925859519","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103020_03","0.405500117823099","0.407318936092951","0.54085032871736","0.54085032871736","0.54085032871736","0.407318936092951","0.289535900436656","28.2686925859519","28.2686925859519","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103020_04","0.87546873735316","0.877287619242559","1.10043117055645","1.10043117055645","1.10043117055645","0.877287619242559","0.694966062448816","0.877112870443513","0.877287619242559","0.877287619242559","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103020_05","0.405640144428383","0.407458708264539","0.540990100888949","0.540990100888949","0.540990100888949","0.407458708264539","0.289675672608244","28.2686925859519","28.2686925859519","28.2686925859519","0.877287619242559","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103040_09","0.875643773673643","0.877462337509798","1.10060588882369","1.10060588882369","1.10060588882369","0.877462337509798","0.695140780716056","0.540675586025529","0.540990100888949","0.54085032871736","1.10043117055645","0.540990100888949","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106160_02","0.182496593114332","0.184315156950488","0.289675672608244","0.289675672608244","0.289675672608244","0.184315156950488","0.0890049771462214","0.877147822646379","0.695140780716056","0.695001008544467","0.540815382621709","0.695140780716056","0.289675672608244","28.2686925859519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
