39,ZIKV
140,ZIKV
193,ZIKV
200,ZIKV
210,ZIKV
225,ZIKV
227,ZIKV
241,ZIKV
ZK0099,ZIKV
ZK0110,ZIKV
ZK0111,ZIKV
ZK0128,ZIKV
ZK0214,CTRL
ZK0215,CTRL
ZK0219,CTRL
ZK0361,CTRL
ZK0362,CTRL
ZK0363,CTRL
ZK0364,CTRL
ZK0365,CTRL
ZK0366,CTRL
2137,DENV
2167,DENV
2173,DENV
3051,DENV
3053,DENV
4171,DENV
4175,DENV
4230,DENV
ZK0041,CHIKV
ZK0043,CHIKV
ZK0046,CHIKV
ZK0048,CHIKV
ZK0049,CHIKV
ZK0066,CHIKV
ZK0085,CHIKV
ZK0087,CHIKV
ZK0088,CHIKV
ZK0094,CHIKV
ZK0104,CHIKV
ZK0126,CHIKV
ZK0129,CHIKV
ZK0130,CHIKV
ZK0134,CHIKV
ZK0135,CHIKV
ZK0137,CHIKV
ZK0140,CHIKV
ZK0143,CHIKV
ZK0145,CHIKV
ZK0160,CHIKV
ZK0162,CHIKV
ZK0170,CHIKV
ZK0171,CHIKV
ZK0172,CHIKV
ZK0180,CHIKV
ZK0182,CHIKV
ZK0185,CHIKV
ZK0187,CHIKV
ZK0188,CHIKV
ZK0191,CHIKV
ZK0193,CHIKV
ZK0194,CHIKV
ZK0195,CHIKV
ZK0196,CHIKV
ZK0198,CHIKV
ZK0202,CHIKV
